Top values of organization.name,Top values of network.application,Top values of source.ip,Top values of url.original,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
Cabarrus County,ssl,10.25.5.170,helixmedia360.com/,4,,,
Cabarrus County,ssl,172.30.220.42,helix.auth0.com/,4,,,
Cabarrus County,ssl,10.10.15.179,helix.auth0.com/,2,,,
FP1 Strategies,ssl,10.124.189.140,helixmedia360.com/,99,,,
Town of Mooresville,ssl,10.170.11.27,helixmedia360.com/,61,,,
Town of Mooresville,ssl,10.110.11.28,helixsleep.attn.tv/,2,,,
Town of Mooresville,ssl,10.200.98.249,helix-sleep.tkjf.net/,1,,,
Town of Mooresville,ssl,10.220.98.102,helixsleep.com/,1,,,
Town of Mooresville,ssl,10.140.98.92,helixjump-prod.s3-us-west-2.amazonaws.com/,2,,,
Town of Mooresville,ssl,10.151.11.47,helix.northwestern.edu/,2,,,
Town of Mooresville,ssl,10.151.11.67,helixjump-prod.s3-us-west-2.amazonaws.com/,1,,,
Town of Mooresville,ssl,10.190.98.206,helix.auth0.com/,1,,,
Town of Mooresville,ssl,130.51.1.112,helix.auth0.com/,1,,,
Town of Mooresville,ssl,10.100.0.12,helixjump-prod.s3-us-west-2.amazonaws.com/,1,,,
Ragsdale Liggett PLLC,ssl,172.32.252.53,helixmedia360.com/,13,,,
Corvid Technologies,ssl,192.168.2.114,helixsleep.attn.tv/,2,,,
Corvid Technologies,ssl,192.168.1.143,helix-sleep.tkjf.net/,1,,,
Corvid Technologies,ssl,192.168.11.167,helixsleep.com/,1,,,
Corvid Technologies,ssl,10.4.2.41,helixsleep.com/,1,,,
Iomax USA Inc,ssl,10.10.4.147,helix-sleep.tkjf.net/,2,,,
Iomax USA Inc,ssl,10.20.128.88,helixsleep.attn.tv/,2,,,
Iomax USA Inc,ssl,10.100.80.201,helixsleep.com/,1,,,
McBrayer PLLC,ssl,192.168.11.85,helix-sleep.tkjf.net/,2,,,
McBrayer PLLC,ssl,10.129.5.44,helixsleep.attn.tv/,1,,,
McBrayer PLLC,ssl,10.129.6.130,helixsleep.com/,1,,,
Boyd Corp,ssl,10.9.12.172,helixo.co/,1,,,
GIGA Data Centers,ssl,192.168.69.75,helix.ru/,1,,,
Hardwire llc,ssl,10.131.1.23,helix-east-acqit-prod-data.s3.amazonaws.com/,3,,,
"Leitner, Williams, Dooley and Napolitan",ssl,10.129.6.137,helixsleep.com/,1,,,
McNally Industries,ssl,192.168.73.119,helix.scscpq.com/,1,,,
McNally Industries,ssl,10.129.6.82,helixlinearcdn.blob.core.windows.net/,1,,,
Burger Fi,ssl,10.131.1.19,helixvm.com/,1,,,
Cabarrus County,web-browsing,10.8.63.32,helix.carfax.com/recipe/onPage/Used-Toyota-Tundra_w642,24,,,
Cabarrus County,web-browsing,10.129.4.151,helix.carfax.com/search/similarVehicles?make=Toyota&model=Tundra&priceMax=30000&mileageMax=80000&zip=28027&radius=500&similarListingsCount=24,2,,,
Cabarrus County,web-browsing,192.168.72.104,"helix.carfax.com/search/v2/consumers/auth0|oasc|476250035/vehicles?tpQualityThreshold=150&tpPositions=1,2,3&tpValueBadges=GOOD,GREAT&zip=28027&radius=50&sort=BEST&make=Toyota&model=Tundra&certified=false&oneAccountId=auth0|oasc|476250035",2,,,
Cabarrus County,web-browsing,192.168.16.22,"helix.carfax.com/search/v2/consumers/auth0|oasc|476250035/vehicles?tpQualityThreshold=150&tpPositions=1,2,3&tpValueBadges=GOOD,GREAT&zip=28027&radius=500&sort=BEST&make=Toyota&model=Tundra&certified=false&urlInfo=Toyota-Tundra-Concord-NC_w642_c10137&cabType=Crew%20Cab&mileageMax=80000&priceMax=30000&dynamicRadius=false&oneAccountId=auth0|oasc|476250035",2,,,
Cabarrus County,web-browsing,10.51.255.122,"helix.carfax.com/search/v2/consumers/auth0|oasc|476250035/vehicles?tpQualityThreshold=150&tpPositions=1,2,3&tpValueBadges=GOOD,GREAT&zip=28027&radius=500&sort=BEST&make=Toyota&model=Tundra&certified=false&urlInfo=Toyota-Tundra-Concord-NC_w642_c10137&cabType=Crew%20Cab,Extended%20Cab&driveTypes=4WD&mileageMax=80000&priceMax=30000&dynamicRadius=false&oneAccountId=auth0|oasc|476250035",2,,,
Cabarrus County,web-browsing,10.136.102.182,"helix.carfax.com/search/v2/consumers/auth0|oasc|476250035/vehicles?tpQualityThreshold=150&tpPositions=1,2,3&tpValueBadges=GOOD,GREAT&zip=28027&radius=500&sort=BEST&make=Toyota&model=Tundra&certified=false&urlInfo=Toyota-Tundra-Concord-NC_w642_c10137&cabType=Crew%20Cab,Extended%20Cab&mileageMax=80000&priceMax=30000&dynamicRadius=false&oneAccountId=auth0|oasc|476250035",2,,,
Cabarrus County,web-browsing,,"helix.carfax.com/search/v2/consumers/auth0|oasc|476250035/vehicles?tpQualityThreshold=150&tpPositions=1,2,3&tpValueBadges=GOOD,GREAT&zip=28027&radius=500&sort=BEST&make=Toyota&model=Tundra&certified=false&urlInfo=Toyota-Tundra-Concord-NC_w642_c10137&dynamicRadius=false&oneAccountId=auth0|oasc|476250035",2,,,
Cabarrus County,web-browsing,,"helix.carfax.com/search/v2/consumers/auth0|oasc|476250035/vehicles?tpQualityThreshold=150&tpPositions=1,2,3&tpValueBadges=GOOD,GREAT&zip=28027&radius=500&sort=BEST&make=Toyota&model=Tundra&certified=false&urlInfo=Toyota-Tundra-Concord-NC_w642_c10137&mileageMax=80000&priceMax=30000&dynamicRadius=false&oneAccountId=auth0|oasc|476250035",2,,,
Cabarrus County,web-browsing,,"helix.carfax.com/search/v2/consumers/auth0|oasc|476250035/vehicles?tpQualityThreshold=150&tpPositions=1,2,3&tpValueBadges=GOOD,GREAT&zip=28027&radius=500&sort=BEST&make=Toyota&model=Tundra&certified=false&urlInfo=Toyota-Tundra-Concord-NC_w642_c10137&priceMax=25000&dynamicRadius=false&oneAccountId=auth0|oasc|476250035",2,,,
Cabarrus County,web-browsing,,"helix.carfax.com/search/v2/consumers/auth0|oasc|476250035/vehicles?tpQualityThreshold=150&tpPositions=1,2,3&tpValueBadges=GOOD,GREAT&zip=28027&radius=500&sort=BEST&make=Toyota&model=Tundra&certified=false&urlInfo=Toyota-Tundra-Concord-NC_w642_c10137&priceMax=30000&dynamicRadius=false&oneAccountId=auth0|oasc|476250035",2,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Toyota&model=Tundra&year=2012&trim=Grade&city=Mansfield&state=MA&pageType=VDP,2,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Toyota&model=Tundra&year=2013&trim=Grade&city=Mount%20Vernon&state=OH&pageType=VDP,2,,,
Cabarrus County,web-browsing,,helix.carfax.com/consumers/verify,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Toyota-Tundra-Concord-NC_w642_c10137,1,,,
Cabarrus County,web-browsing,,"helix.carfax.com/search/v2/consumers/auth0|oasc|476250035/vehicles?tpQualityThreshold=150&tpPositions=1,2,3&tpValueBadges=GOOD,GREAT&zip=28027&radius=50&sort=BEST&dynamicRadius=true&make=Toyota&model=Tundra&certified=false&oneAccountId=auth0|oasc|476250035",1,,,
Cabarrus County,web-browsing,,"helix.carfax.com/search/v2/consumers/auth0|oasc|476250035/vehicles?tpQualityThreshold=150&tpPositions=1,2,3&tpValueBadges=GOOD,GREAT&zip=28027&radius=500&sort=BEST&make=Toyota&model=Tundra&urlInfo=Toyota-Tundra-Concord-NC_w642_c10137&cabType=Crew%20Cab,Extended%20Cab&driveTypes=4WD&mileageMax=80000&page=2&priceMax=30000&cutoff=20&endIndex=25&oneAccountId=auth0|oasc|476250035",1,,,
Cabarrus County,web-browsing,,helix.carfax.com/search/v2/vehicles/5TFUY5F18AX116787?oneAccountId=auth0|oasc|476250035,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Dodge-Charger_w195,12,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=GRAFTON&state=WV&pageType=VDP,4,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Dodge-Charger-GT_t14119,2,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Bronx&state=NY&pageType=VDP,2,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Sterling%20Heights&state=MI&pageType=VDP,2,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Bayside&state=NY&pageType=VDP,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Bradenton&state=FL&pageType=VDP,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Buffalo&state=NY&pageType=VDP,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Pittsburgh&state=PA&pageType=VDP,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Toledo&state=OH&pageType=VDP,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Ford-Explorer_w235,5,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Toyota-Highlander_w632,3,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Lincoln-Town-Car_w439,2,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Ford-Explorer-XLT_t353,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Mercury-Grand-Marquis_w498,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Mazda-Mazda6_w446,6,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Toyota-Camry_w630,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Toyota-C-HR_w9247,2,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Buick-Encore_w71,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Cadillac-XT4_w9552,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Ford-Edge_w231,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Toyota-Camry_w630,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Dodge-Charger-GT_t14119,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Dodge-Charger_w195,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Findlay&state=OH&pageType=VDP,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Pittsburgh&state=PA&pageType=VDP,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Toyota-Tundra_w642,4,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Jeep-Cherokee_w371,3,,,
Cabarrus County,web-browsing,,helixmedia360.com/7-18/Camden.South.End.html?s=pano25548&h=138.6448&v=2.1961&f=90.0000&iframe=true,1,,,
Cabarrus County,web-browsing,,helixmedia360.com/Camden/Camden.Southline.html?s=pano24798&h=116.6&v=0.0000&f=90.0000&iframe=true,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Toyota-Tundra_w642,2,,,
Cabarrus County,web-browsing,,helix.auth0.com/authorize?client_id=UoEqoFnZDIKwtGfaqB1pfZvbyMVKQdne&response_type=code&redirect_uri=https://knowledge.iafc.org&scope=openid%20profile&state=https://knowledge.iafc.org/communities/community-home/viewthread?MessageKey=213d36ef-8b1a-4d3a-bd51-8379f2e34359&CommunityKey=f057b6e7-8125-4b81-98c5-7fee56071687&tab=digestviewer,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Cars-in-Greensboro-NC_c8633,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Lexus-RX-Charlotte-NC_w422_c4968,1,,,
Boyd Corp,web-browsing,,helixacademyindia.com/,3,,,
GIGA Data Centers,web-browsing,,helix.ru/wp-login.php,1,,,
GIGA Data Centers,web-browsing,,helix.ru/xmlrpc.php,1,,,
Corvid Cyberdefense,web-browsing,,helixmedia360.com/Bell/The.Linden.html?s=pano24567&h=64.35&v=0.0000&f=90.0000,1,,,
Corvid Cyberdefense,web-browsing,,helixmedia360.com/Bell/The.Lindendata/graphics/alpo.sidebar-v1.0.72/graphics/sb_menu-close2.png,1,,,
Sterling Construction,web-browsing,,helixproject.com/,1,,,
Town of Mooresville,zendesk-base,,helixsleep.zendesk.com/,1,,,
Corvid Technologies,zendesk-base,,helixsleep.zendesk.com/,1,,,
Iomax USA Inc,zendesk-base,,helixsleep.zendesk.com/,1,,,
McBrayer PLLC,zendesk-base,,helixsleep.zendesk.com/,1,,,
"Leitner, Williams, Dooley and Napolitan",zendesk-base,,helixsleep.zendesk.com/,1,,,